State,$,&,(,),*,+,",",-,.,/,;,<,=,>,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileCondition,WhileHeader,WhileStatement
125,,,,,,,,,,,,,,,,,,,,,,,,,,S37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,
126,,S135,,S155,S132,S129,,S128,,S137,,S131,S134,S130,,,,,,,,,,,,,,,,,,,,,,,,,,,,S136,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,
127,,R62,,R62,R62,R62,R62,R62,,R62,R62,R62,R62,R62,,R62,,,,,,,,,,,,,,,,,,,,,,,,,,R62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,R88,,,,,R88,,,,,,,,,,,,,,,R88,,,R88,,,R88,,,R88,,,R88,R88,R88,,,,,,,R88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,R87,,,,,R87,,,,,,,,,,,,,,,R87,,,R87,,,R87,,,R87,,,R87,R87,R87,,,,,,,R87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,R93,,,,,R93,,,,,,,,,,,,,,,R93,,,R93,,,R93,,,R93,,,R93,R93,R93,,,,,,,R93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,R94,,,,,R94,,,,,,,,,,,,,,,R94,,,R94,,,R94,,,R94,,,R94,R94,R94,,,,,,,R94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,R89,,,,,R89,,,,,,,,,,,,,,,R89,,,R89,,,R89,,,R89,,,R89,R89,R89,,,,,,,R89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,R59,,,,,,R59,,,R59,,,R59,,,,,,,R59,,,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,R95,,,,,R95,,,,,,,,,,,,,,,R95,,,R95,,,R95,,,R95,,,R95,R95,R95,,,,,,,R95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
