State,&,(,),*,+,",",-,.,/,;,<,=,>,EOF,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,ReturnType,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileHeader,WhileStatement
53,,,,,,,,,,,,,,,,,,,,R19,,,,,R19,,,,,,R19,,,,,,,,,,,,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,R16,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,R21,,,,,R21,,,,,,R21,,,,,,,,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,R41,,,,,,R41,,,R41,,,R41,,,,,,,R41,,,R41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,R39,,,,,,R39,,,R39,,,R39,,,,,,,R39,,,R39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,S94,,,,,S86,,,S78,,,,,,,,,,,,,S81,,,S91,,,S90,,,S92,,,S84,S95,S79,,,,,,,S77,,,,,,82,,,,87,,,,,,,,,,80,,,83,93,,,88,89,,,85,,,
59,,,,,,,,,,,,,,,,,S21,S19,,,,,,,,S3,,S17,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,S91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,83,,,,,,,,98,,,
61,,,,,,,,,,,,,,,,,,,,,R33,,,,,,R33,,,R33,,,R33,,,,,R33,,R33,,,R33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
